Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.212359666824341	0	-5143.172411381686	667.3931107585515	-4554.654408459968	-6076.458224963711	416.0	21.228911104120876	1248	1248
10.353803157806396	1	-5804.2395719082415	768.5128293031339	-4752.765067385151	-6568.134288799187	445.6666666666667	33.8066397160216	1337	2585
13.84138011932373	2	-5966.888363292888	87.2833952530923	-5879.604968039796	-6054.171758545981	521.0	17.0	1042	3627
17.364744424819946	3	-6713.430716868093	80.31626743277002	-6633.114449435323	-6793.746984300863	563.5	22.5	1127	4754
21.305925130844116	4	-6707.497651746642	225.31257895862382	-6482.185072788018	-6932.810230705266	596.0	6.0	1192	5946
25.200228929519653	5	-5705.374200291356	372.0418684533515	-5333.332331838004	-6077.416068744707	572.0	16.0	1144	7090
29.067306518554688	6	-5706.012279500588	218.4265534891215	-5487.585726011467	-5924.43883298971	565.0	2.0	1130	8220
33.45657396316528	7	-4875.81787918004	329.145860990287	-4546.672018189753	-5204.963740170327	580.5	17.5	1161	9381
37.41792631149292	8	-5172.380293318537	122.53522566615447	-5049.845067652383	-5294.9155189846915	580.5	14.5	1161	10542
41.20400357246399	9	-4842.279073535876	284.8301675089465	-4557.44890602693	-5127.109241044823	572.5	14.5	1145	11687
45.11168122291565	10	-4661.101211019876	200.4753549328243	-4460.625856087052	-4861.576565952701	576.0	9.0	1152	12839
48.87168741226196	11	-4789.337221307925	183.84433588879529	-4605.492885419129	-4973.18155719672	559.0	14.0	1118	13957
53.04269003868103	12	-5221.215644383909	50.61815071465662	-5170.597493669253	-5271.833795098566	649.0	1.0	1298	15255
57.24857568740845	13	-6263.963680140826	568.3370104269297	-5695.626669713896	-6832.300690567756	684.5	4.5	1369	16624
61.60191369056702	14	-6972.155419409129	1296.9250883020368	-5675.230331107092	-8269.080507711165	707.0	70.0	1414	18038
66.51588439941406	15	-8340.929688569324	635.5267626601149	-7705.4029259092085	-8976.456451229438	822.0	31.0	1644	19682
70.76648116111755	16	-6503.996751550216	37.05066169973861	-6466.946089850478	-6541.047413249955	723.0	21.0	1446	21128
75.56234788894653	17	-7926.189417978247	122.94948842212443	-7803.239929556123	-8049.1389064003715	779.0	25.0	1558	22686
80.1196084022522	18	-5875.917216227273	187.66924889198253	-5688.24796733529	-6063.586465119255	683.0	1.0	1366	24052
84.85111021995544	19	-7413.403734903097	281.849855626715	-7131.553879276382	-7695.253590529812	761.0	8.0	1522	25574
89.4870982170105	20	-6620.691157278408	536.7375044344662	-6083.953652843942	-7157.428661712875	742.0	27.0	1484	27058
93.7111005783081	21	-5981.3985266916225	323.8688033998037	-5657.529723291819	-6305.267330091427	644.5	23.5	1289	28347
97.90496587753296	22	-5454.412652652975	829.7685535894097	-4624.644099063566	-6284.181206242385	637.5	44.5	1275	29622
101.98342275619507	23	-4976.9876853689475	218.77921434975497	-4758.208471019192	-5195.766899718702	593.0	4.0	1186	30808
106.50088906288147	24	-6805.414478917042	638.9371898426652	-6166.477289074377	-7444.3516687597075	691.0	67.0	1382	32190
111.06071281433105	25	-6879.470684428804	130.46212427104092	-6749.008560157763	-7009.932808699845	706.5	0.5	1413	33603
115.82577276229858	26	-7495.801392734089	312.05184436123636	-7183.749548372853	-7807.853237095325	740.5	15.5	1481	35084
120.14450812339783	27	-6315.337320910263	784.3382144691286	-5530.999106441134	-7099.6755353793915	673.0	41.0	1346	36430
125.11512684822083	28	-6866.3962720566715	479.7834021371227	-6386.612869919549	-7346.179674193794	709.5	38.5	1419	37849
130.1359522342682	29	-6863.789225124025	304.783023506629	-6559.006201617396	-7168.572248630654	723.0	12.0	1446	39295
134.89381670951843	30	-7094.238157509265	629.8357599864858	-6464.402397522779	-7724.073917495751	730.5	33.5	1461	40756
139.46241164207458	31	-7415.780092099203	324.1425211167102	-7091.637570982493	-7739.922613215914	729.5	20.5	1459	42215
143.84975600242615	32	-6640.225243101736	346.42025200837816	-6293.804991093358	-6986.645495110114	665.5	4.5	1331	43546
148.24692368507385	33	-5686.765271244543	46.622895619686915	-5640.142375624856	-5733.38816686423	635.0	10.0	1270	44816
152.6267397403717	34	-7194.535955767267	374.56998417611067	-6819.965971591157	-7569.105939943378	693.0	7.0	1386	46202
156.9721713066101	35	-6273.196937729711	134.91149043176028	-6138.285447297951	-6408.108428161471	650.5	15.5	1301	47503
