Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.20031404495239258	0	18.6	8.859714750179347	53.0	10.0	18.6	8.859714750179347	1023	1023
0.37325453758239746	1	19.725490196078432	8.027107093412893	41.0	8.0	19.725490196078432	8.027107093412893	1006	2029
0.5463190078735352	2	19.784313725490197	8.964666426413782	47.0	10.0	19.784313725490197	8.964666426413782	1009	3038
0.7122764587402344	3	20.448979591836736	10.020512073944792	62.0	10.0	20.448979591836736	10.020512073944792	1002	4040
0.9076249599456787	4	19.51923076923077	8.141749917307479	51.0	9.0	19.51923076923077	8.141749917307479	1015	5055
1.0784940719604492	5	19.784313725490197	9.001772647847595	51.0	9.0	19.784313725490197	9.001772647847595	1009	6064
1.255998134613037	6	22.456521739130434	11.56589161159945	65.0	9.0	22.456521739130434	11.56589161159945	1033	7097
1.4310407638549805	7	23.377777777777776	11.614720332193182	68.0	10.0	23.377777777777776	11.614720332193182	1052	8149
1.6001348495483398	8	25.05	12.20440494247876	54.0	11.0	25.05	12.20440494247876	1002	9151
1.7728228569030762	9	22.533333333333335	11.241984799056713	68.0	12.0	22.533333333333335	11.241984799056713	1014	10165
1.9395511150360107	10	27.805555555555557	19.44339282870554	114.0	11.0	27.805555555555557	19.44339282870554	1001	11166
2.1137938499450684	11	28.22222222222222	16.527941175662892	76.0	11.0	28.22222222222222	16.527941175662892	1016	12182
2.282301902770996	12	38.76923076923077	29.14460986226559	125.0	12.0	38.76923076923077	29.14460986226559	1008	13190
2.460806369781494	13	35.3448275862069	21.25100543190428	116.0	14.0	35.3448275862069	21.25100543190428	1025	14215
2.635139226913452	14	27.16216216216216	14.027990385082735	65.0	11.0	27.16216216216216	14.027990385082735	1005	15220
2.816584587097168	15	32.41935483870968	16.19592579900861	79.0	12.0	32.41935483870968	16.19592579900861	1005	16225
2.984301805496216	16	35.06896551724138	16.06437702728223	68.0	12.0	35.06896551724138	16.06437702728223	1017	17242
3.156636953353882	17	36.5	16.891460226144705	86.0	11.0	36.5	16.891460226144705	1022	18264
3.3348586559295654	18	37.48148148148148	18.117661467873603	81.0	11.0	37.48148148148148	18.117661467873603	1012	19276
3.512061595916748	19	42.08	29.706457210512333	144.0	11.0	42.08	29.706457210512333	1052	20328
3.6995694637298584	20	35.310344827586206	19.039167339580327	92.0	12.0	35.310344827586206	19.039167339580327	1024	21352
3.879154682159424	21	46.34782608695652	27.29963958298824	111.0	17.0	46.34782608695652	27.29963958298824	1066	22418
4.052801132202148	22	46.40909090909091	29.28334787571116	143.0	16.0	46.40909090909091	29.28334787571116	1021	23439
4.244678020477295	23	48.083333333333336	31.093832007150368	154.0	16.0	48.083333333333336	31.093832007150368	1154	24593
4.4309563636779785	24	43.208333333333336	22.24481056836003	111.0	16.0	43.208333333333336	22.24481056836003	1037	25630
4.623236179351807	25	42.541666666666664	24.832739086849752	120.0	12.0	42.541666666666664	24.832739086849752	1021	26651
4.7916810512542725	26	49.095238095238095	26.09124056972225	143.0	22.0	49.095238095238095	26.09124056972225	1031	27682
4.963857650756836	27	46.18181818181818	29.728523743484843	118.0	12.0	46.18181818181818	29.728523743484843	1016	28698
5.140085220336914	28	56.0	33.49155431636931	151.0	12.0	56.0	33.49155431636931	1064	29762
5.310915946960449	29	50.45	24.93085437765822	114.0	19.0	50.45	24.93085437765822	1009	30771
5.479818344116211	30	45.72727272727273	28.157320730918304	130.0	14.0	45.72727272727273	28.157320730918304	1006	31777
5.650038003921509	31	44.17391304347826	31.870188024046715	160.0	10.0	44.17391304347826	31.870188024046715	1016	32793
5.823568344116211	32	61.0	38.20686726077333	142.0	16.0	61.0	38.20686726077333	1037	33830
5.990772724151611	33	57.111111111111114	28.458329944145994	134.0	24.0	57.111111111111114	28.458329944145994	1028	34858
6.159934759140015	34	54.1578947368421	27.828919372886254	118.0	17.0	54.1578947368421	27.828919372886254	1029	35887
6.399199724197388	35	60.888888888888886	36.38664115195284	171.0	21.0	60.888888888888886	36.38664115195284	1096	36983
6.5710530281066895	36	61.1764705882353	31.371090652378076	134.0	14.0	61.1764705882353	31.371090652378076	1040	38023
6.755529403686523	37	62.875	24.274150345583674	120.0	22.0	62.875	24.274150345583674	1006	39029
6.927894830703735	38	64.125	46.34904934300163	200.0	21.0	64.125	46.34904934300163	1026	40055
7.096795558929443	39	73.57142857142857	31.671786195545184	134.0	32.0	73.57142857142857	31.671786195545184	1030	41085
7.260810613632202	40	62.8125	28.491706578406287	110.0	17.0	62.8125	28.491706578406287	1005	42090
7.428308725357056	41	58.94117647058823	40.94396542224837	169.0	23.0	58.94117647058823	40.94396542224837	1002	43092
7.609150409698486	42	70.13333333333334	38.099635460489935	140.0	18.0	70.13333333333334	38.099635460489935	1052	44144
7.779778718948364	43	84.16666666666667	37.50074073342493	145.0	16.0	84.16666666666667	37.50074073342493	1010	45154
7.948719024658203	44	63.875	32.86882071203651	153.0	20.0	63.875	32.86882071203651	1022	46176
8.11522650718689	45	67.46666666666667	38.68482332330801	144.0	18.0	67.46666666666667	38.68482332330801	1012	47188
8.291447639465332	46	100.6	56.20533782480095	200.0	42.0	100.6	56.20533782480095	1006	48194
8.48643970489502	47	106.9090909090909	42.959715898532714	200.0	45.0	106.9090909090909	42.959715898532714	1176	49370
8.654425144195557	48	115.55555555555556	41.601578792453196	166.0	41.0	115.55555555555556	41.601578792453196	1040	50410
8.828547477722168	49	104.6	60.30953490120779	200.0	21.0	104.6	60.30953490120779	1046	51456
