Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.241974830627441	0	-5143.172411381686	667.3931107585515	-4554.654408459968	-6076.458224963711	416.0	21.228911104120876	1248	1248
10.381218671798706	1	-5804.2395719082415	768.5128293031339	-4752.765067385151	-6568.134288799187	445.6666666666667	33.8066397160216	1337	2585
14.408722162246704	2	-5966.888363292888	87.2833952530923	-5879.604968039796	-6054.171758545981	521.0	17.0	1042	3627
18.617589712142944	3	-6713.430716868093	80.31626743277002	-6633.114449435323	-6793.746984300863	563.5	22.5	1127	4754
22.635698080062866	4	-6707.497651746642	225.31257895862382	-6482.185072788018	-6932.810230705266	596.0	6.0	1192	5946
26.438470125198364	5	-5705.374200291356	372.0418684533515	-5333.332331838004	-6077.416068744707	572.0	16.0	1144	7090
29.898953199386597	6	-5706.012279500588	218.4265534891215	-5487.585726011467	-5924.43883298971	565.0	2.0	1130	8220
33.82212805747986	7	-4875.81787918004	329.145860990287	-4546.672018189753	-5204.963740170327	580.5	17.5	1161	9381
37.66859245300293	8	-5172.380293318537	122.53522566615447	-5049.845067652383	-5294.9155189846915	580.5	14.5	1161	10542
41.49874997138977	9	-4842.279073535876	284.8301675089465	-4557.44890602693	-5127.109241044823	572.5	14.5	1145	11687
45.32348918914795	10	-4661.101211019876	200.4753549328243	-4460.625856087052	-4861.576565952701	576.0	9.0	1152	12839
49.17808985710144	11	-4789.337221307925	183.84433588879529	-4605.492885419129	-4973.18155719672	559.0	14.0	1118	13957
53.166224241256714	12	-5221.215644383909	50.61815071465662	-5170.597493669253	-5271.833795098566	649.0	1.0	1298	15255
57.178948163986206	13	-6263.963680140826	568.3370104269297	-5695.626669713896	-6832.300690567756	684.5	4.5	1369	16624
61.53815507888794	14	-6972.155419409129	1296.9250883020368	-5675.230331107092	-8269.080507711165	707.0	70.0	1414	18038
66.5552704334259	15	-8340.929688569324	635.5267626601149	-7705.4029259092085	-8976.456451229438	822.0	31.0	1644	19682
70.8423342704773	16	-6503.996751550216	37.05066169973861	-6466.946089850478	-6541.047413249955	723.0	21.0	1446	21128
75.47011065483093	17	-7926.189417978247	122.94948842212443	-7803.239929556123	-8049.1389064003715	779.0	25.0	1558	22686
79.70142841339111	18	-5875.917216227273	187.66924889198253	-5688.24796733529	-6063.586465119255	683.0	1.0	1366	24052
84.40556526184082	19	-7413.403734903097	281.849855626715	-7131.553879276382	-7695.253590529812	761.0	8.0	1522	25574
88.94896149635315	20	-6620.691157278408	536.7375044344662	-6083.953652843942	-7157.428661712875	742.0	27.0	1484	27058
93.09816002845764	21	-5981.3985266916225	323.8688033998037	-5657.529723291819	-6305.267330091427	644.5	23.5	1289	28347
97.18548274040222	22	-5454.412652652975	829.7685535894097	-4624.644099063566	-6284.181206242385	637.5	44.5	1275	29622
101.13919496536255	23	-4976.9876853689475	218.77921434975497	-4758.208471019192	-5195.766899718702	593.0	4.0	1186	30808
105.42398142814636	24	-6805.414478917042	638.9371898426652	-6166.477289074377	-7444.3516687597075	691.0	67.0	1382	32190
109.85799026489258	25	-6879.470684428804	130.46212427104092	-6749.008560157763	-7009.932808699845	706.5	0.5	1413	33603
114.42712998390198	26	-7495.801392734089	312.05184436123636	-7183.749548372853	-7807.853237095325	740.5	15.5	1481	35084
118.6171977519989	27	-6315.337320910263	784.3382144691286	-5530.999106441134	-7099.6755353793915	673.0	41.0	1346	36430
123.03506755828857	28	-6866.3962720566715	479.7834021371227	-6386.612869919549	-7346.179674193794	709.5	38.5	1419	37849
127.4661271572113	29	-6863.789225124025	304.783023506629	-6559.006201617396	-7168.572248630654	723.0	12.0	1446	39295
131.98327803611755	30	-7094.238157509265	629.8357599864858	-6464.402397522779	-7724.073917495751	730.5	33.5	1461	40756
136.3823583126068	31	-7415.780092099203	324.1425211167102	-7091.637570982493	-7739.922613215914	729.5	20.5	1459	42215
140.65012621879578	32	-6640.225243101736	346.42025200837816	-6293.804991093358	-6986.645495110114	665.5	4.5	1331	43546
144.9068922996521	33	-5686.765271244543	46.622895619686915	-5640.142375624856	-5733.38816686423	635.0	10.0	1270	44816
149.23012399673462	34	-7194.535955767267	374.56998417611067	-6819.965971591157	-7569.105939943378	693.0	7.0	1386	46202
153.4106547832489	35	-6273.196937729711	134.91149043176028	-6138.285447297951	-6408.108428161471	650.5	15.5	1301	47503
157.64628148078918	36	-6686.1294377074155	152.42193680114497	-6533.70750090627	-6838.55137450856	677.5	1.5	1355	48858
161.94625449180603	37	-6729.7481386172985	770.6013522734033	-5959.146786343895	-7500.349490890701	663.0	57.0	1326	50184
166.33410930633545	38	-6996.065670805756	122.43061084140754	-6873.635059964348	-7118.496281647163	695.5	8.5	1391	51575
170.50851345062256	39	-6393.451975453109	149.06090226235847	-6244.391073190751	-6542.512877715468	659.5	11.5	1319	52894
174.58615684509277	40	-6185.200993739496	974.184260571285	-5211.016733168211	-7159.385254310781	625.5	59.5	1251	54145
178.44315218925476	41	-5415.5219514797045	61.40665757879515	-5354.115293900909	-5476.928609058499	552.0	4.0	1104	55249
181.95853233337402	42	-4978.609586874459	864.9916269997157	-4113.617959874743	-5843.601213874174	516.0	44.0	1032	56281
185.5223376750946	43	-5174.891610125284	227.8014616359087	-4947.090148489376	-5402.693071761193	519.0	9.0	1038	57319
189.1822202205658	44	-4880.849668888658	216.66946032965916	-4664.180208558999	-5097.519129218317	516.5	8.5	1033	58352
193.10829496383667	45	-5389.065927830123	581.4873338781658	-4807.578593951957	-5970.553261708289	518.0	26.0	1036	59388
196.98738646507263	46	-5375.080372038006	351.76977826741313	-5023.310593770593	-5726.850150305419	502.5	28.5	1005	60393
200.5042622089386	47	-5408.241582268923	41.209656975500366	-5367.031925293422	-5449.451239244423	518.5	3.5	1037	61430
205.64214324951172	48	-5006.851428843237	249.90866699681922	-4704.856086661624	-5316.847913563733	474.6666666666667	26.08107018935807	1424	62854
210.8680739402771	49	-4980.538125008838	581.6915867786784	-4299.178641433563	-5720.416556423797	474.0	21.275964529643932	1422	64276
215.83637166023254	50	-4477.711028267267	249.19284112023536	-4208.3181612447515	-4809.171839897137	443.6666666666667	19.737161790783283	1331	65607
220.7186040878296	51	-4199.693044228011	295.49141991673207	-3797.599698072766	-4499.2966785000035	398.6666666666667	23.41414577178126	1196	66803
225.6105616092682	52	-4065.9311609866127	160.5828184185567	-3904.7490419201135	-4285.07006686471	416.3333333333333	17.21110752456745	1249	68052
230.3485450744629	53	-3881.407812562566	244.1674998644479	-3536.1622187699404	-4059.5769560190765	394.0	24.166091947189145	1182	69234
235.08176517486572	54	-4133.444881262299	205.46904368376207	-3850.8475996468983	-4333.31291839751	397.3333333333333	19.25847576753905	1192	70426
239.84627437591553	55	-3983.0632254032444	220.67745076324448	-3724.8735484927665	-4263.984853212976	397.3333333333333	18.445113776342563	1192	71618
244.26799154281616	56	-3400.9671484051637	263.7612154115307	-3180.338393705645	-3771.756443132502	358.3333333333333	21.63844315615664	1075	72693
248.73298740386963	57	-3561.7300434125737	102.47861461183626	-3477.54157577027	-3705.986041686834	353.6666666666667	4.027681991198191	1061	73754
253.22040104866028	58	-3833.2504992275244	157.3126987600203	-3630.7380496935957	-4014.2717453043797	371.0	11.313708498984761	1113	74867
